Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories)
Wheat,0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4,,,,,,,,,,,,,,
Maize,0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,,,,,,,,,,,,,,
Barley,0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,,,,,,,,,,,,,,
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.28,11.23,8.64,183.91,371.08,482.4,0.95,1.91,2.9,7.6,5.85,18786.2,14450.92,7162.1
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51,35.07,49.39,609.98,3166.76,2248.4,1.21,6.27,0.76,2.8,3.94,49576.3,69825.77,13449.89
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.75,3.48,20.47,80.74,347.65,59.1,0.63,2.71,1.2,0.88,5.18,2754.2,16201.18,3762.57
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.71,0.69,7.67,,,0.0,1.36,14.67,1.86,1.81,20.11,0.0,,
Cane,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.82,16.92,,176.67,,620.1,0.91,,0.58,2.04,,16438.6,,4683.36
Beet,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.54,5.41,,62.02,,217.7,0.52,,0.52,1.83,,9493.3,,2704.64
Other,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.01,17.08,7.98,,203.5,435.7,0.52,0.84,4.57,15.57,7.27,22477.4,10498.55,
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.8,2.17,7.52,3.38,,178.49,396.6,0.28,0.44,2.16,7.46,3.36,27948.2,12577.95,
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,3.11,19.15,11.73,672.16,2531.41,4133.8,0.07,0.26,2.11,12.96,7.94,229889.8,140777.59,37380.46
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.44,14.14,5.4,319.36,707.52,1852.3,0.56,1.23,1.57,9.11,3.48,61797.9,23605.0,10654.81
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,,1.06,,,,27.8,,,,0.66,,955.6,,
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,,,,,,,,,,,,,,
Soybean,3.1,0.0,1.5,0.3,0.3,0.8,0.0,6.0,,11.69,,,,414.6,,,,10.52,,14888.2,,
Palm,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,1.21,10.67,,0.72,,6.4,0.83,,0.27,2.42,,36.2,,4.1
Sunflower,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5,5.73,50.66,,114.02,,1007.9,0.41,,2.0,17.66,,36369.4,,4114.19
Rapeseed,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,2.17,19.19,,26.89,,237.7,0.43,,1.2,10.63,,10593.7,,1198.38
Olive,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,4.21,37.26,,242.29,,2141.8,0.61,,2.98,26.31,,177480.2,,20076.95
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,39.53,7.51,68.27,1946.32,3361.82,369.8,11.0,19.0,4.21,0.8,7.27,5335.7,48506.36,28082.63
Onions,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,8.76,3.24,24.92,38.65,110.0,14.3,1.35,3.85,1.05,0.39,3.0,932.0,7169.23,2518.92
Root,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.35,1.61,16.1,76.76,284.0,28.4,1.16,4.3,0.89,0.33,3.3,929.2,9292.0,2511.35
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,29.47,5.01,45.55,702.35,1085.45,119.4,3.0,4.64,3.24,0.55,5.0,8455.1,76864.55,49735.88
Other,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,,2.27,,,,102.5,,,,0.38,,4911.4,,
Citrus,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,37.33,258.44,1378.33,82.7,1.22,6.5,2.69,0.86,14.33,4662.7,77711.67,14570.94
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.8,5.48,3.29,36.56,190.83,1272.22,114.5,1.43,9.56,3.22,1.93,21.44,661.9,7354.44,1103.17
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.02,1.45,48.33,375.21,6003.33,180.1,0.9,14.33,1.31,0.63,21.0,12948.6,431620.0,26976.25
Berries,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,10.74,6.12,61.2,736.14,4196.0,419.6,2.68,15.3,4.23,2.41,24.1,21162.1,211621.0,37126.49
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,,4.57,,,,78.9,,,,1.78,,1149.3,,
Other,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.5,197.36,110.52,138.15,46.25,32.38,25.9,50.95,35.66,38.61,21.62,27.02,337.0,421.25,601.79
Dark,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,16.84,87.08,174.16,104.56,1081.2,540.6,9.02,93.3,13.34,68.96,137.92,2879.2,5758.4,556.91
Beef,16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.41,301.41,151.16,531.58,727.78,1451.2,36.44,49.89,119.49,326.21,163.6,34732.5,17418.51,12722.53
Beef,0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.81,365.29,185.05,994.25,1375.03,2714.3,12.2,16.87,15.84,43.24,21.9,119805.2,60691.59,43884.69
Lamb,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64,97.13,48.54,568.71,900.95,1802.8,12.53,19.85,116.66,369.81,184.81,141925.0,70927.04,44771.29
Pig,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.96,76.38,47.21,751.38,1109.89,1795.8,5.15,7.61,7.26,17.36,10.73,66867.4,41327.19,27977.99
Poultry,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,26.32,48.7,28.12,356.76,381.06,660.0,5.34,5.7,6.61,12.22,7.06,14177.9,8185.85,7663.73
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,17.75,10.65,32.27,1047.0,1903.64,628.2,5.25,9.5,14.92,8.95,27.12,19786.3,59958.48,32977.17
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,25.42,98.37,44.55,1448.37,2538.59,5605.2,6.17,10.82,22.68,87.79,39.76,180850.6,81906.97,46731.42
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.5,15.11,21.76,19.61,401.18,520.64,577.7,3.24,4.21,4.35,6.27,5.65,17982.7,16206.47,12487.99
Fish,0.5,0.8,3.6,0.0,0.1,0.1,0.0,5.1,131.35,235.12,103.1,2062.18,1618.64,3691.3,7.61,5.98,4.7,8.41,3.69,41572.2,18229.42,23224.69
Shrimps,0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.8,,,,,,,,,,,,,,
